Gender,Employment,First Generation Indicator,New to Ames,Classification,Favorite Restaurant,Favorite Food Type,# Caffeinated Drinks,Height (inches),Shoe size,Length of Relationship,Technology effects,Age for Electronics,Football,Enthusiasm
male,Full-time student,No,No,Sophomore,Panda Express,I like all types of food;I do not have a preference.,0,75,12,3,Yes,13,Yes,True
female,Part-time and/or working student,No,No,Senior,Hickory Park,Asian cuisine,4,68,11,48,Yes,15,Yes,True
female,Full-time student,No,Yes,Sophomore,Mr. Burrito,Mexican cuisine,1,64,7,39,No,12,Yes,True
female,Full-time student,No,No,Sophomore,"My favorite restaurant in Ames is probably Hickory Park because of how cheap and affordable it is. Also, the food there is absolutely amazing.  <br>",I like all types of food;I do not have a preference.,0,66,9,60,Yes,14,Yes,True
female,Part-time and/or working student,No,Yes,Freshman,My favorite restaurant in Ames is Potbelly Sandwich Shop.,Asian cuisine,1,68,9,8,No,14,No,True
male,Full-time student,No,No,Sophomore,Hickory Park,I like all types of food;I do not have a preference.,0,72,11.5,24,No,13,Yes,True
male,Full-time student,No,No,Sophomore,The Cafe,American cuisine,0,76 inches,15,0,Yes,14,Yes,True
female,Full-time student,No,No,Sophomore,Mr. Burrito,I like all types of food;I do not have a preference.,1,68,8,0,Yes,14,No,True
female,Full-time student,No,No,Junior,,Mexican cuisine,2,69,8.5,18,No,12,Yes,True
male,Full-time student,No,No,Sophomore,Right now it's probably Pammel Groceries restaurant.,Asian cuisine,1,69,9.5,0,No,12,No,True
male,Full-time student,No,No,Sophomore,Jeff's Pizza.,Asian cuisine,2,71,10.5,1,No,14,Yes,False
male,Full-time student,No,No,Sophomore,Panda Express,I like all types of food;I do not have a preference.,2,65,10,3,No,13,Yes,False
female,Full-time student,No,No,Sophomore,"Jeff's, Smokin' Oak, Stomping Grounds",I like all types of food;I do not have a preference.,0,64,7.5,13,No,10,Yes,True
male,Full-time student,No,No,Sophomore,Fighting Burrito,Asian cuisine,4,68,10.5,2,Yes,12,Yes,True
male,Full-time student,No,Yes,Sophomore,Hickory Park,American cuisine,1,75,12,0,No,14,Yes,False
female,Full-time student,No,No,Sophomore,Mongolian Buffet and Grill,American cuisine,1,66,8,24,No,12,Yes,True
male,Full-time student,No,No,Sophomore,I enjoy going to wallaby's restaurant,European cuisine,0,74,11.5,63,No,13,Yes,True
male,Full-time student,No,No,Sophomore,Hickory Park,American cuisine,2,71,12,12,No,12,Yes,True
female,Full-time student,No,No,Junior,+39,I like all types of food;I do not have a preference.,1,65,8,3,No,12,Yes,True
male,Full-time student,No,No,Junior,El Azteca,Mexican cuisine,0,71,10.5,5,Yes,14,Yes,True
male,Full-time student,No,No,Junior,Hickory Park,I like all types of food;I do not have a preference.,0,67,8.5,14,No,9,Yes,False
female,Full-time student,No,No,Sophomore,HuHot,European cuisine,1,67,9,4,Yes,11,Yes,True
female,Full-time student,No,No,Sophomore,I love Brick City Grill!,American cuisine,0,67,11,1,Yes,14,Yes,True
male,Full-time student,Yes,Yes,Sophomore,Fuji,I like all types of food;I do not have a preference.,1,76,11.5,1,No,14,Yes,True
female,Full-time student,Yes,No,Junior,PIZZA PITTTTTT,Asian cuisine,4,66,8,19,No,4,Yes,False
male,Full-time student,No,No,Junior,Café Beaudelaire,American cuisine,0,70,10,20,No,15,Yes,True
male,Full-time student,Yes,No,Sophomore,Fuji,Asian cuisine,1,70,10,14,No,14,Yes,True
